Country	FirmCode	Ano	id	t	IPR	ROA	ROS	RD	Sales	Leverage	Size	Age	y_2010	y_2011	y_2012	y_2013	y_2014	y_2015	y_2016	y_2017	y_2018	y_2019	y_2020
BRA	2	2010	1	1	5118	0.085662001	1.464041479	0.074870841	0.408601271	0.554745191	83818.09919	49	1	0	0	0	0	0	0	0	0	0	0
BRA	2	2011	1	2	5.3	0.105780049	1.882825031	0.054064621	0.530592638	0.574542511	99756.41791	50	0	1	0	0	0	0	0	0	0	0	0
BRA	2	2012	1	3	5.5	0.087124289	2.370129675	0.054905682	-0.141687944	0.444813656	68018.0088	51	0	0	1	0	0	0	0	0	0	0	0
BRA	2	2013	1	4	5.6	0.095113777	1.9507003	0.061353599	-0.205177668	0.275998207	65686.41083	52	0	0	0	1	0	0	0	0	0	0	0
BRA	2	2014	1	5	5.5	0.158922471	1.99779435	0.068678392	-0.140950061	0.041558001	55097.73094	53	0	0	0	0	1	0	0	0	0	0	0
BRA	2	2015	1	6	5099	0.037433401	1.310615207	0.088178309	-0.455312691		45746.3605	54	0	0	0	0	0	1	0	0	0	0	0
BRA	2	2016	1	7	5145	0.051695793	1.32189644	0.085133157	-0.023985443		44268.07255	55	0	0	0	0	0	0	1	0	0	0	0
BRA	2	2017	1	8	5434	0.052251349	1.522171641	0.047704245	0.430315632		54986.52882	56	0	0	0	0	0	0	0	1	0	0	0
BRA	2	2018	1	9	5746	0.057900046	1.356265717	0.082815092	-0.063650414	0.01989572	57784.74085	57	0	0	0	0	0	0	0	0	1	0	0
BRA	2	2019	1	10	5564	0.159063278	1.839035535	0.074160429	0.457924993	0.018588657	62130.23751	58	0	0	0	0	0	0	0	0	0	1	0
BRA	2	2020	1	11	5478	0.103747766	2.089451229	0.063915312	-0.021526449	0.041381433	53506.92424	59	0	0	0	0	0	0	0	0	0	0	1
BRA	3	2010	2	1	5118	0.1264227	1.729922022	0.229136353	0.96899111		322734.7611	64	1	0	0	0	0	0	0	0	0	0	0
BRA	3	2011	2	2	5.3	0.079231703	1.672279142	0.257180337	0.004276796		335287.1642	65	0	1	0	0	0	0	0	0	0	0	0
BRA	3	2012	2	3	5.5	0.089804874	1.234514646	0.316750792	-0.2586392		336712.3708	66	0	0	1	0	0	0	0	0	0	0	0
BRA	3	2013	2	4	5.6	0.051936309	1.646860673	0.299901737	0.265203962		319344.1787	67	0	0	0	1	0	0	0	0	0	0	0
BRA	3	2014	2	5	5.5	0.023323786	1.492246109	0.393739681	-0.301217156		246273.4767	68	0	0	0	0	1	0	0	0	0	0	0
BRA	3	2015	2	6	5099	-0.009432962	0.957448572	0.683637117	-0.594190569		155763.1697	69	0	0	0	0	0	1	0	0	0	0	0
BRA	3	2016	2	7	5145	-0.050646142	0.812802894	0.802246898	-0.19025446		148574.2529	70	0	0	0	0	0	0	1	0	0	0	0
BRA	3	2017	2	8	5434	-0.017162129	1.033575049	0.574235875	0.270505525	0.004821724	148444.2356	71	0	0	0	0	0	0	0	1	0	0	0
BRA	3	2018	2	9	5746	0.036828481	1.494108548	0.370366898	0.350678346	0.021793961	138699.5786	72	0	0	0	0	0	0	0	0	1	0	0
BRA	3	2019	2	10	5564	0.108690676	2.102185958	0.093485896	0.325442532	0.02582724	130661.3267	73	0	0	0	0	0	0	0	0	0	1	0
BRA	3	2020	2	11	5478	0.13627063	1.740921058	0.29854735	-0.300065962	0.019713013	110432.3286	74	0	0	0	0	0	0	0	0	0	0	1
BRA	8	2010	3	1	5118	0.103571396	0.67165136	0.453700202	0.159570717	0.70655197	568006.0217	76	1	0	0	0	0	0	0	0	0	0	0
BRA	8	2011	3	2	5.3	0.090615232	0.554566119	0.528451311	-0.032937958	1.405217766	665269.8507	77	0	1	0	0	0	0	0	0	0	0	0
BRA	8	2012	3	3	5.5	0.075529658	0.629066215	0.523458174	-0.027944681	3.334017247	570093.1137	78	0	0	1	0	0	0	0	0	0	0	0
BRA	8	2013	3	4	5.6	0.013536932	0.681820869	0.453133748	0.043382096	4.926578672	548801.4461	79	0	0	0	1	0	0	0	0	0	0	0
BRA	8	2014	3	5	5.5	-0.094778023	0.603754173	0.592300384	-0.328262035	11.8299338	416318.093	80	0	0	0	0	1	0	0	0	0	0	0
BRA	8	2015	3	6	5099	-0.059595634	0.805807266	0.470630935	-0.016212538	-8.977726396	306870.7789	81	0	0	0	0	0	1	0	0	0	0	0
BRA	8	2016	3	7	5145	-0.110004177	0.929697656	0.418547875	-0.037952911	-3.886609153	255882.926	82	0	0	0	0	0	0	1	0	0	0	0
BRA	8	2017	3	8	5434	-0.209119354	0.904156014	0.380595405	-0.084412051	-1.555776414	240901.6291	83	0	0	0	0	0	0	0	1	0	0	0
BRA	8	2018	3	9	5746	0.05020648	0.917637186	0.208656941	0.062010387	-2.006794229	252081.4405	84	0	0	0	0	0	0	0	0	1	0	0
BRA	8	2019	3	10	5564	0.099081055	0.937306365	0.211709706	0.095337862	-2.462013453	270320.144	85	0	0	0	0	0	0	0	0	0	1	0
BRA	8	2020	3	11	5478	0.297349125	1.213971862	0.164022653	0.357371559	18.13170409	283302.3003	86	0	0	0	0	0	0	0	0	0	0	1
BRA	10	2010	4	1	5118	0.014461815	0.859184529	0.498744419	0.332414614	0.254822368	547665.7388	99	1	0	0	0	0	0	0	0	0	0	0
BRA	10	2011	4	2	5.3	0.074132671	0.728041006	0.661912371	-0.225815103	0.30542231	500369.5522	100	0	1	0	0	0	0	0	0	0	0	0
BRA	10	2012	4	3	5.5	-0.020959307	0.511505438	1.001149589	-0.447806581	0.343253939	393267.1646	101	0	0	1	0	0	0	0	0	0	0	0
BRA	10	2013	4	4	5.6	-0.031966878	0.559254536	0.79070665	-0.020898004	0.456231683	352173.2481	102	0	0	0	1	0	0	0	0	0	0	0
BRA	10	2014	4	5	5.5	0.019653422	0.606373214	0.683855463	0.033274842	0.489157098	335615.28	103	0	0	0	0	1	0	0	0	0	0	0
